ID,PARENT_ID,ROLE_NAME
174,7,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
174,6,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
174,5,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
174,8,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
175,5,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
175,7,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
175,6,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
175,8,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
176,7,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
176,6,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
176,8,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
176,5,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
177,5,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
177,7,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
177,8,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
177,6,SCH_FA_DCDW_DB_CDW_INTGEXT_TB
178,7,SCH_FA_DCDW_DB_CDW_LANDING_TB
178,5,SCH_FA_DCDW_DB_CDW_LANDING_TB
178,8,SCH_FA_DCDW_DB_CDW_LANDING_TB
178,6,SCH_FA_DCDW_DB_CDW_LANDING_TB
179,7,SCH_FA_DCDW_DB_CDW_LANDING_TB
179,8,SCH_FA_DCDW_DB_CDW_LANDING_TB
179,6,SCH_FA_DCDW_DB_CDW_LANDING_TB
179,5,SCH_FA_DCDW_DB_CDW_LANDING_TB
180,7,SCH_FA_DCDW_DB_CDW_LANDING_TB
180,6,SCH_FA_DCDW_DB_CDW_LANDING_TB
180,5,SCH_FA_DCDW_DB_CDW_LANDING_TB
180,8,SCH_FA_DCDW_DB_CDW_LANDING_TB
181,6,SCH_FA_DCDW_DB_CDW_LANDING_TB
181,7,SCH_FA_DCDW_DB_CDW_LANDING_TB
181,8,SCH_FA_DCDW_DB_CDW_LANDING_TB
181,5,SCH_FA_DCDW_DB_CDW_LANDING_TB
182,5,SCH_FA_DCDW_DB_CDW_USER_TB
182,7,SCH_FA_DCDW_DB_CDW_USER_TB
182,6,SCH_FA_DCDW_DB_CDW_USER_TB
182,8,SCH_FA_DCDW_DB_CDW_USER_TB
183,8,SCH_FA_DCDW_DB_CDW_USER_TB
183,7,SCH_FA_DCDW_DB_CDW_USER_TB
183,5,SCH_FA_DCDW_DB_CDW_USER_TB
183,6,SCH_FA_DCDW_DB_CDW_USER_TB
184,8,SCH_FA_DCDW_DB_CDW_USER_TB
184,7,SCH_FA_DCDW_DB_CDW_USER_TB
184,5,SCH_FA_DCDW_DB_CDW_USER_TB
184,6,SCH_FA_DCDW_DB_CDW_USER_TB
185,8,SCH_FA_DCDW_DB_CDW_USER_TB
185,7,SCH_FA_DCDW_DB_CDW_USER_TB
185,5,SCH_FA_DCDW_DB_CDW_USER_TB
185,6,SCH_FA_DCDW_DB_CDW_USER_TB
